id,Question,optionA,optionB,optionC,optionD,correct_option,Time,Explanation
947,This country launches research project to compile data about South China Sea.,New Zealand,China,Russia,Brazil,B,45,China launched a research project to compile historical data obtained during expeditions by its teams to the disputed the South China Sea. The project is one of the 14 resource investigation programs approved by the Ministry of Science and Technology.
948,Who is appointed as the Chief of newly established Counter-Terrorism Centre?,Charles Malik,Alex Quaison-Sackey,Vladimir Voronkov,Adam Malik,C,45,The UN Secretary General Antonio Guterres appointed Russian diplomat Vladimir Voronkov to head the newly established UN Counter-Terrorism Centre (UNCCT). He has been given the rank of Under-Secretary-General.
949,Which Indian Anti Hunger activist will be honoured with the 2017 Queen's Young Leaders award?,Sachin Bansal,Ankit Kawatra,Anil Agarwal,Kunal Bahl,B,45,"Anti-hunger activist Ankit Kawatra selected for prestigious Queen's Young Leaders Award with 60 others from all 53 Commonwealth countries. He will be honored by Queen Elizabeth II at a ceremony to be held in the Buckingham Palace, United Kingdom."
950,This company patners with the International Olympics Committee recently.,HCL Technologies,CapGemini,Intel Corporation,Tech Mahindra,C,45,"The Intel company partners with the International Olympic Committee (IOC) announced a long-term technology partnership at an official signing with IOC President Thomas Bach and the US tech giant's chief executive officer Brian Krzanich. It will join ""The Olympic Partner"" (TOP) worldwide sponsorship program, becoming a Worldwide TOP Partner through 2024."
951,How many states are declared as a open defecation free in India?,5,4,3,6,A,45,"Sikkim, Himachal Pradesh, Kerala, Uttarakhand and Haryana were the first five states to be declared ODF. Open defecation is the practice of people defecating outside and not into a designated toilet. The term is widely used in literature about water, sanitation, and hygiene (WASH) issues in developing countries."
952,Which social media platform launched an Online Civil Courage Initiative (OCCI) in UK to counter online extremist material?,Twitter,Google,Instagram,Facebook,D,45,Facebook Inc has launched an Online Civil Courage Initiative (OCCI) in the United Kingdom (UK) to remove extremist and terrorism content from its social media platform. The new initiative will train Non-Governmental Organizations (NGOs) to help them monitor and respond to extremist content and create a dedicated support desk so they can communicate directly with Facebook.
953,Which of the following country bans the private use of Firecrackers recently?,Brazil,Russia,Philippines,Mexico,C,45,Philippines bans private use of Firecrackers. Philippines President Rodrigo Duterte signed an executive order banning the private use of firecrackers in the country. Health authorities recorded 350 fireworks-related injuries as the country welcomed 2017.
954,June 23 is observed as the _______________.,International Picnic Day,International Widows Day,International Tiger Day,International Day in Support of Victims of Torture,B,45,"International Widows Day is observed on June 23 for action towards achieving full rights and recognition for widows. Programs and policies for ending violence against widows and their children, poverty alleviation, education and other support to widows of all ages also need to be undertaken, including in the context of action plans to accelerate achievement of the Sustainable Development Goals."
955,India's biggest municipal bonds programme was launched in _______________.,Odisha,Bihar,Madhya Pradesh,Maharasthra,D,45,"Union Minister Venkaiah Naidu launched India's largest municipal bond program in Maharasthra after banging a gong to incorporate the Pune Municipal Corporation (PMC) in the list of BSE (Bombay Stock Exchange). The project looks to raise Rs 2,264 crore in five years. In its first part, the corporation raised Rs200 crore through the Bombay Stock Exchange's bond trading platform at a coupon rate (a fixed security amount) of 7.59% for 10 years."
956,Which state launches the scheme for better treatment of HIV-Hit people?,Jammu and Kashmir,Mizoram,Arunachal Pradesh,Kerala,B,45,Mizoram launches scheme for better treatment of HIV-Hit people. The Mizoram Health Minister Lal Thanzara launched the 'Test and Treat Strategy' of the Mizoram state AIDS Control Society (MSACS) to improve treatment for HIV affected people in the state. The Test and Treat Strategy is a new initiative of the Centre to combat the HIV/AIDS disease.
957,How many cities are announced as Smart Cities recently?,30,25,45,55,A,45,"The Union Government announced 30 new smart cities with a total investment of Rs. 57,393 crores by Union Urban Development Minister M. Venkaiah Naidu. The Smart City Mission is a scheme of Union Government that will cover 100 cities and its duration is five years (2015-16 to 2019-20)."
958,Which country approved Sale of UAV Technology to India?,United States of America,England,Africa,Australia,A,45,The United States cleared the sale of the state-of-the-art Guardian 22 unmanned Guardian flights to India. The deal to sell Unmanned Aerial Vehicle (UAV) flights to India is estimated to be worth $2 to $3 billion. The transfer of the state-of-the-art UAV technology to India will be the first significant progress after India's entry into the exclusive Missile Technology Control Regime (MTCR) and after the US has designated India as a major defence partner.
959,Kenneth I Juster is set to become America's new Ambassador to ___________.,Denmark,China,India,Egypt,C,45,Kenneth I Juster is set to become America's new Ambassador to India. He is the Deputy Assistant to the United States President for International Economic Affairs and Deputy Director of his National Economic Council.
960,Who signed Memorandum of Understanding with the Housing and Urban Development Corporation (HUDCO) recently?,The Employees Provident Fund Organisation (EPFO),National Institute of technology,Nagaland University,Kerala University,A,45,"The Employees Provident Fund Organisation (EPFO) a retirement fund body will sign a pact with the Housing and Urban Development Corporation (HUDCO). Under the housing scheme, EPFO allows its subscribers from societies for withdrawing up to 90% of their EPF accumulations to buy homes."
961,ISRO's PSLV-C38 can able to carry this much of satellite.,30,28,25,31,D,45,"Indian Space Research Organisation (ISRO) workhorse rocket Polar Satellite Launch Vehicle (PSLV-38) blasted off from the spaceport carrying the Cartosat-2 series satellite a dedicated satellite for the defense forces along with 30 co-passenger satellites. The 30 satellites will together weigh 243 kg and the total weight of all the 31 satellites, including Cartosat, is about 955 kilograms."
962,How many members are appointed be the Oversight Committee of Reserve Bank of India?,5,3,6,4,B,45,"Reserve Bank of India announced names of the members of Overseeing Committee. Another three members have been added former L&T Finance Holdings Chairman YM Deosthalee, former Canara Bank chairman MBN Rao, and Securities and Exchange Board of India (SEBI) whole-time member S Raman appointed as new members."
963,Which state approved the 53 urban projects under the Atal Mission for Rejuvenation and Urban Transformation (AMRUT)?,Odisha,Karnataka,Goa,Rajasthan,A,45,"The State Government of Odisha approved 53 urban projects with a total investment of Rs 538 crore under the Atal Mission for Rejuvenation and Urban Transformation (AMRUT). Its main objective is to provide basic services is water supply, sewerage, urban transport to households and build amenities in cities which will improve the quality of life."
964,What is the toll free number launched by the Manipur CM for women helpline?,171,181,151,141,B,45,"The Manipur CM Biren Singh has launched a toll free 24/7 helpline number 181 for women in the state. It will help fight and reduce crime against women in the state. The helpline will also provide information about the appropriate support services, government schemes and programmes available to the women affected by violence."
965,What is the new name of World Taekwondo Federation?,World Taekwondo,Taekwondo Federation,International Taekwondo Federation,International Taekwondo,A,45,"The World Taekwondo Federation has changed its name to World Taekwondo on 25th June 2017. The body was called the World Taekwondo Federation since 1973.It was headqurtered in South Korea. It has been considering a change since the slang abbreviation ""WTF"" gained currency on social media."
966,Sunil Kakar was appointed as the MD and CEO of this bank.,Kotak Mahindra Bank,IndusInd Bank,HDFC Bank,IDFC Bank,D,45,"IDFC Ltd has announced the elevation of its CFO Sunil Kakar as the Managing Director and Chief Executive Officer. He is appointed for 3 years. Sunil Kakar is responsible for finance and accounts, business planning and budgeting and investor relations, among others."
967,"Who launched the book ""The Emergency - Indian Democracy's Darkest Hour"" on 24th of June 2017?",Shri Venkaiah Naidu,Shri Arun Jaitley,Shri Nitin Gadkari,Smt Sushma Swaraj,A,45,Venkaiah Naidu has launched the book which titled The Emergency - Indian Democracy's Darkest Hour on 24th of June 2017. A book is written by Surya Prakash who is a chairman of PrasharBharati. The book was launched at a conference to mark the anniversary of the Emergency and to honour all those who fought for restoration of democracy in the country in the mid-1970s.
968,The Day of the Seafarer was observed on _________.,June 24th,June 26th,June 25th,June 20th,C,45,"The Day of Seafarer (DotS) has observed on 25th of June 2017. DotSwas established in a resolution adopted by the 2010 Diplomatic Conference in Manila to adopt the revised STCW Convention. Its main purpose is to recognize the unique contribution made by seafarers from all over the world to international seaborne trade, the world economy and civil society as a whole. The theme of Seafarer Day 2017 is ""Seafarers Matter""."
969,Who won the Australia Open Super Series Title?,P.V. Sindhu,Chetan Anand,Aparna Phopat,Kidambi Srikanth,D,45,"Indian shuttler Kidambi Srikanth won the Australian Open Superseries Trophy in Sydney. He has defeated Olympic champion Chen Long. Srikanth has won in straight games 22-20, 21-16 to win his career's 4th Super Series title and become only the fifth player in the world and the first Indian male shuttler to contest three consecutive Super Series finals."
970,How many agreements are signed by India and Portugal recently?,9,11,15,8,B,45,"India and Portugal signed 11 agreements like counter-terrorism, space and climate studies. Both the countries agreed to set up a joint Science and Technology fund of four million euros."
971,Which document is not valid for Indians travelling to Nepal and Bhutan?,Driving License,Income Tax PAN,Aadhaar,Voter's card,C,45,According to the Union home ministry Aadhaar is not a valid identification document for Indians travelling to Nepal and Bhutan. Indians can travel to Nepal and Bhutan-both countries for which they don't need visas-if they possess a valid national passport or election ID card issued by the Election Commission. For ease travelling the persons over 65 and below 15 years can show documents with photographs to confirm their age and identity.
972,Jagannath Yatra festival was celebrated in ___________.,Manipur,Assam,Maharashtra,Odisha,D,45,"Jagannath Yatra festival or Ratha Yatra is a Hindu festival associated with Lord Jagannath held at Puri in the state of Odisha, India. The 5000 year old chariot festival marks the return of Lord Krishna to Vrindavan with his brother Balabhadra and sister Subhadra. Whereas the 135th JagannathYatra starts from June 25 and ends on July 3 2017."
973,"As per the report of World Drug 2017, how many people are suffered from drug?",29.5 million,27.2 million,30.8 million,21.9 million,A,45,"As per World Drug Report 2017, released by United Nations Office on Drugs and Crime (UNODC), around 29.5 million people (0.6% of the global adult population) were engaged in problematic use of drugs and suffered from drug use disorders, including dependence. It highlighted that Opioids (drugs derived from opium, including morphine) were the most harmful drug type and accounted for 70% of the negative health impact associated with drug use disorders worldwide."
974,Which state increase the retirement age of regular state government employees to 60 years?,Andra Pradesh,Arunachal Pradesh,Madhya Pradesh,Uttar Pradesh,B,45,Arunachal Pradesh government has decided to increase the retirement age of regular state government employees to 60 years. It will be implemented from 1st of January 2018. It observed that there are various categories of employees who are already having the benefit of retirement age of 60 years. observed that there are various categories of employees who are already having the benefit of retirement age of 60 years.
975,This city made the Aadhaar card details compulsory for seeking subsidy on e-rickshaw in the city.,Delhi,Kolkata,Mumbai,Pune,A,45,"The Delhi government has made Aadhaar card details compulsory for those seeking subsidy on e-rickshaw registered in the city. It has been announced by the government on 26th of June 2017. It has been done in order to ""prevent duplicacy"" in grant of the financial assistance. As per the government the registered owners of e-rickshaws in Delhi will be considered for a subsidy of Rs 30,000 after providing their Aadhaar card details."
976,Which coutry's scientists designed the world's most powerful submarine detector?,United States of America,Japan,China,India,C,45,"Chinese scientists have claimed a major breakthrough in magnetic detection technology which could find hidden metallic objects, including minerals and submarines. It works from the air, could be used to pinpoint the location of minerals buried deep beneath the earth in Inner Mongolia, for example, with a level of precision as high as anything currently available around the world, the experts were quoted as saying by the report."
977,The World Bank issued this amount to Train India's job seekers.,$100-Million,$150-Million,$200-Million,$250-Million,D,45,"The World Bank has cleared a USD 250-million loan, referred to as Skill India Mission Operation (SIMO) for making Indian youth more employable through reskilling. World Bank's SIMO is a six- year programme in support of the Indian government's National Policy for Skill Development and Entrepreneurship (2017-23)."
978,Who won Femina Miss India 2017 title recently?,Manushi Chhillar,Sana Dua,Priyanka Kumari,Anukriti Gusain,A,45,"Manushi Chhillar from Haryana won Femina Miss India 2017 title at Yash Raj Studios in Mumbai on June 25, 2017. Sana Dua from Jammu and Kashmir is the first runner-up and the second runner-up is Priyanka Kumari from Bihar. Karan Johar and Riteish Deshmukh hosted the event; whereas Sonu Nigam, Alia Bhatt, Sushant Singh Rajput and Ranbir Kapoor performed live on-stage to entertain the guests."
979,Who of the following conferred with the best Sportsperson of the Year Award by the Sports Journalists Federation of India?,Ajay Jayaram,PV Sindhu,Saina Nehwal,Kidambi Srikanth,B,45,"The Sports Journalists Federation of India, at its annual general meeting decided to confer the best Sportsperson of the Year Award on the ace shuttler and Rio Olympics silver medallist P V Sindhu. The Best Team of the Year award was bagged by the Indian junior hockey squad which won the World Cup in Lucknow last December."
980,Who won the Miss World title in BodyBuilding Championship recently?,Bhumika Sharma,Sridevi Varma,Harini Raji,Nithya Shree,A,45,"Bhumika Sharma has become Miss World in bodybuilding championship on 26th of June 2017. Bhumika is from Dehradun and gained maximum points in three categories - individual posing, body posing. She bagged the Miss World title and the gold medal at the world championship."
981,Which city in India planned to get Highest Rail Track Survey to Commence?,"Kolkata, West Bengal","Chennai, Tamil Nadu","Navi Mumbai, Mumbai",Leh in Jammu and Kashmir,D,45,"Indian Railways will start the final location survey of the 498 km long Bilaspur-Manali-Leh line at Leh in Jammu and Kashmir. The proposed new rail line will connect all important locations between Bilaspur and Leh namely Sunder Nagar Mandi, Manali, Tandi, Keylong, Koksar, Darcha, Upshi, and Karu. The Bilaspur-Manali-Leh line is along Himachal-J&K border and the last three lines along Assam-Arunachal border."
982,Who got a Junior World Record at World Championship?,Jitu Rai,Heena Sindhu,Jaspal Rana,Anish Bhanwala,D,45,"Anish Bhanwala won 25-metre standard pistol gold with a World Junior Record in the Junior World Shooting Championship in Suhl, Germany. He defeated Florian Peter of Germany. The 15-year old from Haryana won gold in the Junior Men's 25m Standard Pistol competition, with a world record score of 579, which helped India also bag the Team Silver in the event and prop it to second in the overall standings."
983,The first turbaned Sikh woman Palbinder Kaur Shergill was appointed as __________ Supreme Court Judge.,Denmark,Greece,Canada,Ireland,C,45,Palbinder Kaur Shergill becomes the first turbaned Sikh woman to be appointed as Canada's Supreme Court Judge. The announcement was made by the minister of justice and attorney general of Canada Jody Wilson-Raybould.
984,The government of India decided to observe anti-Emergency day on June _____.,22-23,23-24,25-26,26-27,C,45,"The Indian government has decided to observe anti-Emergency day on June 25-26 and asked all its ministers to hold programmes across the country to remind people how Emergency was clamped by former Prime Minister Indira Gandhi in 1975. Terming the Emergency as a ""black day"" in the constitutional democracy of independent India, Union information and broadcasting minister M Venkaiah Naidu has written to all ministers, asking them to make themselves available to the requests of the presidents of state units of the BJP to demonstrate how the party values democracy."
985,Which bank bags Skoch's Best Bank in Public Sector award recently?,Syndicate Bank,Corporation Bank,Canara Bank,Vijaya Bank,D,45,Vijaya Bank has bagged Skoch's Best Bank in Public Sector award. It received nine Skoch Awards in the following categories -- Best Bank in Public Sector; Best Bank for NPA Management - Organization Category; Retail Lending; Inclusive Wallet - VPAYQWIK; Digital Inclusion; IT Security; e-Surveillance of ATMs and branches; and 100 Digital Villages - Financial Inclusion.
986,Which organisation made the Satellite-based chip system to alert users at unmanned level crossings?,Vikram Sarabhai Space Centre,ISRO,National environmental engineering research institute,National Geophysics Research Institute,B,45,ISRO-made system to alert users at unmanned level crossings. The Satellite-based chip systems will now alert road users at unmanned level crossings about approaching trains and also help in tracking train movement on a real-time basis. Road users will be warned by hooters once a train approaches an unmanned level crossing as railways are installing ISRO-developed integrated circuit (IC) chips on locomotives of trains.
987,"He become the first Indian to complete the 4,900-km Solo finish Race across America.",K K Sengar,Nishant Sharma,Srinivas Gokulnath,Martin Bergmeister,C,45,"Dr. Srinivas Gokulnath from Maharashtra has created history by becoming the first Indian to complete the 4,900-km Race Across America (RAAM) in solo 18-59 age category, which is considered to be the toughest cycle race in the world. He completed the race in 11 days, 18 hours and 45 minutes."
988,Which city will host the 2017 Whatashort Independent International Film Festival (WIIFF)?,New Delhi,Kolkata,Mumbai,Chennai,A,45,"The 3rd edition of Whatashort Independent International Film Festival (WIIFF) will be held at the Instituto Cervantes in New Delhi from July 8-9, 2017 to promote short films from across the globe. The significance of the festival lies in the very core idea of uplifting the indie and short film makers and their creations."
989,Who has been appointed as the new Prime Minister of Romania?,Liviu Dragnea,Klaus Iohannis,Sorin Grindeanu,Mihai Tudose,D,45,Mihai Tudose named as the Prime Minister of Romania. The decision has been taken keeping in mind the political crisis that risked damaging the country's record economic recovery.
990,What is the theme of the 2017 International Day against Drug Abuse and Illicit Trafficking?,Listen Peace,Listen First,Listen Yourself,Listen Nature,B,45,"The theme for 2017 International Day against Drug Abuse and Illicit Trafficking is ""Listen First - Listening to children and youth is the first step to help them grow healthy and safe"". It is an initiative to increase support for prevention of drug use that is based on science and is thus an effective investment in the well-being of children and youth, their families and their communities."
991,Which Indian movie has won the Best Action Movie award at the Shanghai International Film Festival (SIFF)?,Wazir,Force 2,Baahubali: The Conclusion,Sultan,D,45,"Indian film 'Sultan' has won the best action movie award at the Shanghai International Film Festival (SIFF). The movie is about Desi, Indian wrestling and its raw power. It was directed by Ali Aabbas Zafar. With this, Sultan has become the first ever Bollywood film to win the award in the Jackie Chan Action Movie week section."
992,Who inaugurates 3 day MODI Fest in Panaji?,Raghubar Das,Manohar Lal,Manohar Parrikar,Shivraj Singh Chouhan,C,45,"Goa chief minister Manohar Parrikar inaugurated the three-day MODI (Making of Developed India Festival) Fest at Kala Academy in Panaji. The main focus depends on economic and infrastructure development, budget reforms, women empowerment, skill development for youth, Digital India, financial inclusion and incentives for the farming sector."
993,N Vohra appointed as the President of the India International Centre (IIC) is the governor of which state?,Madhya Pradesh,Jammu and Kashmir,Chhattisgarh,Manipur,B,45,"Narinder Nath Vohra, the Governor of Jammu and Kashmir (J&K), has been appointed as the new President of the India International Centre (IIC), which is one of the premier cultural institutions in the country. He succeeded by Soli Sorabjee. The India International Centre (IIC) is a well known non-official organization located in New Delhi."
994,Which aviation company got world's top Airline stock in 2017 with 124% Gain?,Sahara,Air Asia,SpiceJet,Jet Airways,C,45,"SpiceJet is world's top Airline stock in 2017 with 124% gain. SpiceJet Limited forced to ground its entire fleet on its inability to pay $2.2 million in fuel bills, the budget airline becomes the world's best-performing airline stock with $26 billion."
995,USA declare this country among the World's Worst offenders on human trafficking in its annual Trafficking in Persons Report.,China,Japan,Russia,Isreal,A,45,"United States of America (USA) is set to declare China as one among the World's Worst offenders on human trafficking in its annual Trafficking in Persons Report. The declaration would place China in the same category as North Korea, Zimbabwe, and Syria."
996,Who is appointed as ambassador for Government's Skill India campaign?,Aishwarya Rai,Deepika Padukone,Anushka Sharma,Priyanka Chopra,D,45,"Actress Priyanka Chopra will soon be seen endorsing government's flagship Skill India campaign, with the National Skill Development Corporation roping in the Bollywood celebrity as an ambassador for the initiative. The Skill India campaign was launched by Prime Minister Modi in July 2015."
997,Which feature opportunity did Mars Rover finds evidence recently?,Ancient Planet,Ancient Lake,Ancient satellite,Ancient Eroded Valley,B,45,NASA's Opportunity Mars rover is examining the edge of a crater on the red planet that may once have been a lake of liquid water. It found rocks at the edge of Endeavour Crater that were either transported by a flood or eroded in place by wind. The Opportunity mission has been investigating sites on and near the western rim of Endeavour Crater since 2011.
998,Which Indian shooter has bagged gold in the Women's 10m Air Pistol at the ISSF Junior World Rifle/Pistol Championship?,Nandini SIngh,Anjali Bhagwat,Yashaswini Singh Deswal,Apurvi Chandela,C,45,Pistol shooter Yashaswini Singh Deswal put up a bright performance to bag a gold in the 10m Air Pistol Women in Germany. She bagged the gold in the ISSF Junior World Championship which is being held in Germany. She fired 235.9 points to clinch the gold.
999,Which system is employed in the civilians in peace stations?,Sahayak system,Missile systems,Tactical Communications System,Combat systems,A,45,"Indian Army is actively now considering the recruiting civilian staff in peace stations with the colonial-era Sahayak system. Sahayaks are soldiers and their duties include protecting the officers, maintaining their weapons and equipment and also helping them in carrying out their responsibilities."
1000,Who has won the 2017 Sahitya Academy Yuva Puraskar in English Language?,Ram Mori,Pratim Baruah,Manu S Pillai,Shamik Ghosh,C,45,"Manu S Pillai has won the 2017 Sahitya Academy Yuva Puraskar in English Language for his book titled ""The Ivory Throne - Chronicles of the House of Travancore"", the biography of the last queen of Travancore. The book unfolds the rise and fall of Maharani Sethu Lakshmi Bai, who ruled Travancore between 1924 -193. The book discusses the unheard life and rare customs of the royal family."
1001,The World Bank (WB) has sanctioned how much amount of loan assistance for the Assam State Public Finance Institutional Reforms (ASPIRe) Project?,$54 million,$44 million,$64 million,$84 million,B,45,"The World Bank (WB) has approved a loan assistance of $44 million for the Assam State Public Finance Institutional Reforms (ASPIRe) Project. The ASPIRe project is based on three important components that act as pillars for institutional reforms - strengthening public finance institutional capacity, strengthening expenditure and revenue information systems and on project management, monitoring and evaluation, and coordination. The purpose of the project is to improve predictability and transparency in budget execution and efficiency in tax administration in Assam."
1002,Who has been appointed the head of the reconstituted Oversight Committee (OC) of RBI for faster bad loan resolution?,Pradeep Kumar,Janki Ballabh,M.B.N. Rao,Y.M. Deosthalee,A,45,"The Reserve Bank of India (RBI) has recently expanded the Oversight Committee (OC) from 2 to 5 for faster bad loan resolution in the banking sector. The three new members are M.B.N. Rao, Y.M. Deosthalee and S. Raman. According to the reconstituted structure, the 5-member OC will be led by a chairman and work through multiple benches to approve various cases of restructuring referred by banks."
1003,Which Indian state hosted the 2017 International Federation of Sport Climbing (IFSC) World Cup?,Assam,Uttar Pradesh,Gujarat,Maharashtra,D,45,"The 6th edition of International Federation of Sport Climbing (IFSC) World Cup was held at the CIDCO Exhibition Centre in Navi Mumbai, Maharashtra on June 24 - 25, 2017. Over 150 athletes from across the globe will participate at the World Cup including the top talent from India."
1004,Who is honoured with the United Nations Public Service Award?,Shri Raman Singh,Smt Mamata Banerjee,Shri Arvind Kejriwal,Shri Raj Singh,B,45,"West Bengal Chief Minister Mamata Banerjee received the highest prize in United Nations Public Service Award for the State Government's Kanyashree Prakalpa (Girl Child) scheme in The Hague, Netherlands."
1005,Who is appointed as the ICC Deputy chairman?,Imran Khawaja,Kailash Raj,Suresh Sinha,Akbar Singh,A,45,Imran Khawaja appointed as International Cricket Council (ICC) as Deputy Chairman. He is a senior lawyer and serving in the ICC Board for several years.
1006,Who launched the Passport Seva Project (PSP) in India?,Shri D V Sadananda Gowda,Shri Manoj Sinha,Shri Ravi Shankar Prasad,Shri Radha Mohan Singh,B,45,The Minister for Communications Shri Manoj Sinha launched Passport Seva Project (PSP) in India with its successful implementation in the Public Private Partnership (PPP) mode. The Passports Act provides issue of passports and travel documents and regulation of the departure from India of Indian citizens.
1007,Which city has been chosen for Council of Scientific & Industrial Research (CSIR) by the NITI AAyog team recently?,Chennai,Mumbai,Hyderabad,Kolkata,C,45,NITI-Aayog has chosen the Council of Scientific & Industrial Research (CSIR) -Centre for Cellular and Molecular Biology (CCMB) in Hyderabad for hosting 10-crore Atal Incubation Centre for biotechnology start-ups. CCMB is one of the 10 organizations that have been identified to host the 'Atal Incubation Centre'.
1008,Who launches POSOCO-IMD Weather Portal for Power Sector & Web Portal 'MERIT'?,Shri Piyush Goyal,Shri Arun Jaitley,Shri Naveen Patnaik,Shri Ravi Shankar Prasad,A,45,"Union Minister for Power, Coal New & Renewable Energy Shri Piyush Goyal and Mines launches Weather Portal for Power Sector in association with POSOCO and IMD at the meeting of the Forum of Regulators. Day to day weather variations have an impact on load demand and energy production, transport and distribution management, as well as energy prices."
1009,What is the rank of India in the 2017 Social Progress Index (SPI)?,88th,93rd,105th,65th,B,45,"India has been ranked 93rd out of 128 countries in the 2017 Social Progress Index (SPI). The list is topped by Denmark, Finland, Iceland, Norway and Switzerland. The SPI is an aggregate index of social and environmental indicators that capture three dimensions of social progress: Basic Human Needs, Foundations of Wellbeing, and Opportunity."
1010,The World's first ATM celebrated its _________ anniversary recently.,100th,75th,50th,25th,C,45,"The World's first ATM celebrated its 50th anniversary with a British bank decorating the site of the world's first cashpoint in gold to mark the occasion. The first ATM was unveiled by Barclays at their Enfield branch in north London on 27 June, 1967. The invention of the ATM was a historical moment that completely changed the way the world thought about and used cash."
1011,"Which Indian sportsperson will be conferred with the East Bengal football club's highest honour ""Bharat Gaurav""?",Dhanraj Pillay,Mary Kom,Pusarla Venkata Sindhu,Sachin Tendulkar,A,45,"Former India hockey captain Dhanraj Pillay will be awarded East Bengal football club's highest honour - Bharat Gaurav on their foundation day. The ceremony will be held on August 1. He represented the country in four Olympics, World Cups, Champions Trophy and Asian Games. He played total 339 matches for India, scoring 170 goals."
1012,How many billion Euros are fined by the European Union to Google?,2.42,3,5,1.58,A,45,The European Union's competition watchdog fined Google a record 2.42 Billion Euro for breaching the anti-trust rules by illegally favoring its shopping service.
1013,This state signed an agreement with Asian Development Bank (ADB) for a loan of 1950 crore rupees for the strengthening of roads in the different district.,Haryana,Jammu Kashmir,Uttar Pradesh,Assam,C,45,Uttar Pradesh Government signed an agreement with Asian Development Bank (ADB) for a loan of 1950 crore rupees for the strengthening of roads in the different district. The project is scheduled to be completed by the year of 2024 and it will provide the loan for the period of 25 years on the interest rate of 2 percent.
1014,Which country test fired a submarine-launched Intercontinental Ballistic Missile?,China,India,Japan,Russia,D,45,The Russian military has successfully test-fired a submarine-launched Intercontinental Ballistic Missile (IBM). The Yuri Dolgoruky is the first in a series of Borei-class submarines carrying the Bulava.
1015,Which title did the Roger Federer won recently?,Halle Open title,French Open Tennis,World cup Tennis,VIVA Cup Tennis,A,45,Roger Federer won the ninth Halle Open title recently. He defeated Alexander Zverev from Germany.
1016,Which city has been designated as the UNESCO World Book Capital 2019?,Warsaw,Pune,Sharjah,Athens,C,45,"Sharjah, the city of United Arab Emirates (UAE), has been designated as the UNESCO World Book Capital 2019 by Irina Bokova, the Director-General of UNESCO, at the Headquarters of the International Federation of Library Associations (IFLA) at La Haye. Sharjah was the first emirate in UAE to establish a formal school and a library. It was also the first emirate to house many cultural institutions like the Emirates Publishers Association and the Emirates' writers Union."
1017,Maharashta Government formed this committee for Padma Awards 2018.,Chandrakant Patil committee,Ram Shinde committee,Sudhir Mungantiwar committee,Vinod Tawde committee,B,45,"The Maharashtra government has constituted an 11-member committee to scrutinize and recommend names from Maharashtra for the Padma Awards 2018 to the Government of India (GoI). The Padma awards seek to recognise work of distinction and exceptional achievements in different fields and disciplines such as art, literature and education, sports, medicine, social work, science and engineering, public affairs, civil service, trade and industry."
1018,Who is the new President of International Economic Association (IEA)?,Kaushik Rana,Kaushik Dave,Kaushik Saha,Kaushik Basu,D,45,"Kaushik Basu, an Indian economist, has taken over as new President of the International Economic Association (IEA) on June 23, 2017 and will serve the post for 3-years. He also served as senior vice-president and chief economist at the World Bank from 2012 to 2016."
1019,How many agreements are signed between India and Netherland?,5,2,3,4,C,45,"India and Netherlands signed 3 agreements between Prime Minister Narendra Modi and his Dutch counterpart Mark Rutte in Hague the Netherlands. It includes MOU on Cultural Cooperation, Water Cooperation and an Agreement on Amending Social Security Arrangement."
1020,"Under Which scheme the Union Ministry launched exchanged MoUs with SAP India, Intel and HMT?",Digital MSME Scheme,INSPIRE Program,Sarkari Yojana,Namami Yojana,A,45,"Union Minister of MSME Kalraj Mishra launched a new scheme, 'Digital MSME' Scheme for the micro, small & medium enterprise (MSME) sector and exchanged Memorandum of Understandings (MoUs) with SAP India, Intel and HMT."
1021,How many medals are bagged by the Indian shooting squad in Junior Shooting World Championship?,3,5,6,8,D,45,"The Indian shooting squad finished a creditable second at the International Shooting Sports Federation, Junior World Championship with three gold, two silver and three bronze medals in Suhl, Germany. China topped the event with 19 medals, including eight golds."
1022,Which company acquired Senso Motoric Instruments (SMI) recently?,Nokia,Apple,HP,Volfoni,B,45,"Apple acquired Senso Motoric Instruments (SMI) according to a report from MacRumors, it is specialized in eye-tracking technology. SMI has also offered eye-trackers for desktop applications as well as measurement-only head-worn devices for data collection and analysis."
1023,Which country citizen becomes the second largest group of migrants living in Australia?,Chine,French,India,Fiji,C,45,"Indians have become the second largest group of migrants living in Australia since 2011 at 1,63,000, following people of Chinese origin, according to the latest census data. The Australian Bureau of Statistics (ABS) released the latest figures of the country's fast changing population and demographics that has recorded 1.3 million new migrants settled in Australia since 2011 from around 180 countries, including India and China. The census updated the Australian population to 24.4 million people in 2016 from over 21.5 million in 2011."
1024,Rajiv Kumar appointed as Secretary of this state.,Maharashtra,Uttar Pradesh,Madhya Pradesh,Himachal Pradesh,B,45,The Uttar Pradesh government appointed Rajiv Kumar as the new Chief Secretary of the state. He replaces Rahul Prasad Bhatnagar.
1025,Who is the Ambassador of Indian Film Festival of Melbourne?,Amitabh Bachaan,Anil Kapoor,Vidya Balan,Sonam kapoor,C,45,"The Indian Film Festival of Melbourne (IFFM), which is supported by the Victorian Government, will run from August 10 to August 22 this year. Vidya Balan returns as the ambassador of the festival."
