ID,Question,Option A,Option B,Option C,Option D,Correct Option,Timer,explaination
2659,"The tissue response to oral hygiene instruction is best
assessed by",Probing the base of the socket,Changes in plaque scores,Reduced tendency to bleed on probing the gingival margin,Reduced tooth mobility,C,45,No explanation given
2660,A pregnant lady had no complaints but mild cervical lymphadenopathy in first trimester. She was prescribed spiramycin but she was noncompliant. Baby was born with hydrocephalus and intracerebral calcification. Which of these is likely cause ?,Rubella,Toxoplasmosis,CMV,Herpes,B,45,"Hydrocephalus and intracerebral calcification can occur in all the four options either commonly (Toxoplasma, CIVIV) or uncommonly (HSV, rubella). See previous explanation.
However, spiramycin in pregnancy is given for toxoplasmosis.
Acute maternal toxoplasmosis is usually asymptomatic, some patients may present with posterior cervical lymphadenopathy, fatigue, lassitude and maculopapular rash.
Spiramycin reduces the risk of congenital infection in acute toxoplasmosis during pregnancy.
As the patient was not compliant with spiramycin, baby developed congenital toxoplasmosis."
2661,Rampant caries should be applied to a caries rate of:,5 or more new lesions per year.,7 or more new lesions per year.,10 or more new lesions per year.,15 or more new lesions per year.,C,45,No explanation given
2662,Unpaired structures in the brain:,Basilar artery,Vertebral artery,Middle cerebral artery,Anterior cerebral artery,A,45,Unpaired structure in the brain is basilar artery.
2663,A paediatrician was called for attending a new born baby in the labour ward. The serum unconjugated bilirubin of this baby was 33 mg/dL. Which of the following drug taken by mother in late 3rd trimester may have lead to this problem?,Cotrimoxazole,Azithromycin,Ampicillin,Chloroquine,A,45,"Bilirubin given in question is very high; Bilirubin binds to Albumin in blood, so when any drug displaces bilirubin from albumin, it can lead to increased free bilirubin. Cotrimoxazole is a combination of trimethoprim and sulfamethoxazole (a sulfonamide). Sulfonamides (acidic drugs) can displace bilirubin from albumin resulting in excessive free bilirubin. This can cross blood brain barrier in newborn babies which can cause Kernicterus; hence avoided in pregnancy."
2664,Which of the following is not a small round cell tumor?,Neuroblastoma,Retinoblastoma,Ewing's sarcoma,Hemangiosarcoma,D,45,"Ans. is 'd' i.e., hemangiosarcomaSmall round blue cell tumors:* Histologically many of the malignant paediatric neoplasms are unique.* They tend to have a more primitive (embryonal) rather than pleomorphic anaplastic microscopic appearance.* Often characterized by sheets of cells with small round nuclei.* Frequently exhibit features of organogenesis specific to the site of tumour origin (therefore these tumours are frequently designated by suffix - blastoma).* Owing to their primitive histological appearance many childhood tumours have been collectively referred to as small round blue cell tumourThe differential diagnosis of small round blue cell tumours includesNeuroblastomaRhabdomyosarcomaRetinoblastomaWilms tumoursEwings sarcomaMedulloblastomaLymphomaPrimitive neuroectodermal tumoursBurkitt lymphoma"
2665,Increased collum angle is seen in,Class I bimaxillary protrusion,Class II div 1,Class II div 2,Class III,C,45,"Collum angle
The angulation of the root to the crown, particularly of the single rooted anterior teeth is  known as Collum angle. It is the angle formed by the intersection of the long axis of the crown and root and it is measured using the lateral cephalogram.
Dental features of class II div 2 include a class II molar and canine relationship, deep traumatic bite, retroclined upper four incisors or retroclined central incisors with a labial inclination of the laterals and supra-erupted, upright lower incisors. The tooth size may be  small, and upper incisors may have increased collum angle between the crown and the root.
The maxillary incisors in class II division 2 malocclusions are about 12° more vertical than those in normal occlusion. The mandibular incisors are upright in a class II division 2 malocclusion, but to a lesser extent than the upper incisors."
2666,Which of the following is not a vitamin K dependent procoagulant?,Factor II,Factor VII,Factor IX,Factor XI,D,45,No explanation given
2667,A patient got trauma and a metal rod inserted in superior orbital fissure causes damage of?,Occulomotor nerve,Occulomotor and ophthalmic nerve,Only ophthalmic nerve,Trochlear and vagus nerve,B,45,"Superior orbital fissure-
Present between lesser and greater wings of the sphenoid within the orbital cavity."
2668,Which of the following defines the pressure in the vascular system in the absence of blood flow?,Pulse pressure,Critical closing pressure,Mean circulatory filling pressure,Perfusion pressure,C,45,"Answer- C. Mean circulatory filling pressureMean Circulatory Filling pressure (MCFP) is equilibrium pressure that is reached throughout the cardiovascular system when cardiac output is stopped completely. MCFP can be measured by stopping blood flow (e.g., by stopping hea pumping by giving shock to hea with electricity) and allowing the pressure throughout the circulatory system to reach equilibrium. MCFP is equilibrium pressure everywhere in circulation."
2669,Pure left sided failure may be seen with –a) ASDb) Aortic stenosisc) Patent ductus arteriosusd) Pulmonary valvular obstruction,a,c,bc,ad,C,45,"ASD usually does not cause HF.
AS & PDA increase the strain on left ventricle -> LVF.
PS increases the strain on right ventricular failure ---> RVF."
2670,"What is the advantage of chromic gut over plain
gut suture in deep wounds?",Greater strength,Greater ease of use,Delayed resorption,Less tissue irritation,C,45,No explanation given
2671,Pellicle formation involves,Adsorption of acidic glycoproteins from saliva,Focal areas of mineralisation,Focal areas of necrosis,Bacterial colonization,A,45,No explanation given
2672,Increase in the residual mercury in silver amalgam filling can:,Cause fracture of the filling,Tarnish and corrosion,Increase the strength,Decrease condensation pressure,A,45,No explanation given
2673,Not included in the human poverty index is:,% of population not surviving up to 40 yrs age,Occupation,Underweight for age,% population not using safe water supply,B,45,No explanation given
2674,"A 33 years old male came with pain and watering in the right eye for 36 hours. On examination, a 3 x 2 cm corneal ulcer is seen with elevated margins, feathery hyphae, finger like projections and minimal hypopyon in cornea. What is the likely causative organism?",Aspergillosis,Pseudomonas,Acanthamoeba,HSV-1,A,45,"Ans: A. AspergillosisRef: Yanoff & Duker 4/e p225; Parson 22/e p203, 21/e p199)Finding suggestive of fungal corneal ulcer. In the question, Aspergillus is the only fungus.Mycotic or fungal keratitis:Commonly due to Aspergillus, Fusarium or Candida albicans.Fungal ulcers are typically seen after injury with vegetable matter such as a thorn or wooden stick and are characterized by a relatively indolent course.Symptoms are much milder than the clinical signs would suggest.Dry slough with feathery borders, surrounded by a yellow line of demarcation, which gradually deepens into a gutter.An immune ring (Wessely) may be visible due to deposition of immune complexes and inflammatory cells around the ulcer.Marked ciliary and conjunctival congestion.Hypopyon is thick and immobile - Due to direct invasion into the anterior chamber of fungal hyphae enmeshed in thick exudates."
2675,"In a patient of oral & maxillofacial trauma, cervical injury is not ruled out, intubation of preference will be:",LMA,Combitube,Normal laryngoscopy & endotracheal intubation,Fiberoptic intubation,D,45,No explanation given
2676,Fine needle aspiration cytology (FNAC) is not enough to diagnose:,Papillary carcinoma of thyroid,Follicular carcinoma of thyroid,Carcinoma breast,Adenocarcinoma lung,B,45,"Ans: B. Follicular carcinoma of the thyroid(Ref: Robbin's 9/e p1094, 8/e p1123).FNAC:Not enough to diagnose follicular carcinoma.Since follicular carcinoma is differentiated from follicular adenoma based on capsular invasion & vascular invasion (not diagnosed by FNAC).Limitations of FNAC in Thyroid Diseases:Not able to distinguish follicular adenoma from follicular carcinoma.Not able to distinguish Huhle cell adenoma from Huhle cell carcinomaUseless in Reidel's thyroiditis (Biopsy is preferred).FNAC is less reliable in patients who have a history of head & neck irradiation or family history of thyroid cancer due to the higher likelihood of multifocal lesions & occult cancer."
2677,Animal test to check the biocompatibility of dental material are all except,Buehler test,Implantation test,Ame's test,Sensitization test,C,45,No explanation given
2678,Normal anion gap metabolic acidosis seen in all except?,Proximal A,Severe pancreatitis,Diarrhea,Salicylates poisoning,D,45,"Classification of Anion GAP: High anion gap M.A Normal Anion gap M.A High Mud FLES Normal USed CARP Methanol Uremia DKA Paraldehyde IEM, Iron, INH Lactic acidosis Ethanol, athylene glycol Salicylate Ureterostomy Small bowel fistula Extra chloride Diarrhea Carb anhydrase inhibitor Adrenal insufficiency RTA Pancreatic Fistula"
2679,A 40 years old male with history of fall and one episode of vomiting near an alcohol shop. He was brought to casualty and he was awake with open eyes and had retrograde amnesia. Which of the following is most likely cause?,Diffuse axonal injury,Concussion,Drunkenness,Cerebral venous thrombosis,B,45,"Ans.BConcussion: It is the most common type of traumatic brain injury.During head trauma, the head usually moves back and foh violently and there is a mismatch between the rapid deceleration and acceleration of the skull and the brain so that the brain hits repeatedly against the skull leading to concussion injury.Anterograde amnesia/Posttraumatic amnesia is a hallmark of concussion.In this type of amnesia, the events following the injury cannot be recalled.Headache, dizziness, nausea, vomiting like symptoms may present"
2680,"DOPA and 5 - Hydroxytryptophan are clinically
important because",They cross Blood Brain Barriers,They are acidic precursors of Brain amines,They act as neuromodulators,They are metabolites of various neurogenic amines,A,45,No explanation given
2681,Which among the following should be the last resort for giving L.A technique to the patient,Intrapulpal,Intraligamentary,Intraosseous,Infiltration,A,45,No explanation given
2682,Which of the following drug is used to counter act the gastric irritation produced by administration of NSAID:,Roxatidine,Pirenzipine,Betaxolol,Misoprostol,D,45,No explanation given
2683,Which of the following is associated with defective apoptosis and increased cell survival,Neuro degenerative diseases,Auto immune disorders,Myocardial infarction,Stroke,B,45,No explanation given
2684,A 16-year-old girl comes to a doctor with fractured forearm. She told she tripped and fell but cigarette burns were observed on her forearm. What will be your Next step?,To inform higher authorities,To do a complete physical examination,To tell or discuss with colleagues that she is a case of abuse,To call local social worker for help,B,45,"Ans: B. To do a complete physical examinationThe first step after suspecting s case of abuse is to do a complete detailed history taking & physical examination of the patient to see any other injuries which can confirm the findings.Concluding just by seeing a burn that looks like a cigarette burn on the forearm can be misleading at times so a thorough examination of the whole body is mandatory to confirm the above finding to child abuse.after confirmation According to the POSCO Act, every crime of child sexual abuse should be repoed. If a person who has information about any abuse fails to repo, they may face imprisonment up to six months or maybe fined or both"
2685,Which of the following Is not an etiological agent for gingival recession,Gingival abrasion,Gingival ablation,Gingival inflammation,TFO,D,45,No explanation given
2686,Maximum risk of ureter injury is seen after:,Vaginal hysterectomy,Weheim's hysterectomy,Laparoscopic abdominal hysterectomy,Anterior colporrhaphy,B,45,Answer- B. Weheim's hysterectomyRadical or Weheim's hysterectomy is associated with the highest risk of ureteric injury. The risk of ureteral injury at vaginal hysterectomy is higher (0.6%) than with an open abdominal approach (0.07%).
2687,A 45 year patient working in a factory for past 20 years presents with breathlessness. HRCT chest shows pleural thickening and fibrosis. Histopathology of the lesion shows?,Asbestosis,Cotton fiber,Coal worker pneumoconiosis,Silicosis,A,45,Option A: In interalveolar septa There is presence of Irregular lobulated fusiform beaded bodies Ferruginous bodies- Diagnostic of asbestosis Pleural thickening Option B: Cotton Fiber-Byssinosis Option C: Coal worker pneumoconiosis Pleural thickening manifestation not seen. Option D: Silicosis is associated with Bilateral HilarLymphederopathy & development of infiltrative lung disease.
2688,All of the following can be used to decrease IOP in glaucoma except,Mannitol,Carbonic anhydrase inhibitor,Apraclonidine,Dexamethasone,D,45,Answer: D. DexamethasoneSteroids cannot be given in glaucoma as they can themselves lead to increase in intraocular pressure
2689,In which of the following conditions is the role of microbial plaque most obscure:,Periodontitis,Juvenile periodontitis,Desquamative gingivitis,Necrotising ulcerative gingivitis,C,45,No explanation given
2690,What is the first sign of pubey in a girl?,Thelarche,Menarche,Adrenarche,Pubarche,A,45,"Ans: A. ThelarcheThe first physical sign of pubey in girls is usually a firm, tender lump under the center of the areola of one or both breasts; occurring on average at about 10.5 years of age. This is referred to as thelarche.Order of Signs of PubeyMales (TPAM)Females (TPM)Testicular enlargement (First sign)degPubarchedegAdrenarchedegMoustache & BearddegThelarche (First sign)degPubarchedegMenarchedeg Onset of PubeyMalesFemalesGrowth of testes ( 24 mL in volume or 2.5 cm in longest diameter) & thinning of scrotum are first signs of pubey (11- 12 year)deg.These are followed by pigmentation of scrotum & growth of penis & by pubarchedeg.Appearance of axillary hair usually occurs in mid-pubeydeg.In males, unlike in females, acceleration of growth is maximal at genital stages IV-V (typically between 13 & 14 years of age)deg.In males, growth spu occurs approximately 2 year later than in females & growth may continue beyond 18 years of agedeg.Breast development (thelarche) is usually first sign of pubey (10-11 years of age)Followed by the appearance of pubic hair (pubarche) 6-12 months laterdeg.Interval to the onset of menstrual activity (menarche) is usually 2-2.5 years, but may be as long as 6 yearsdeg.Peak height velocity occurs early (at breast stages 11-81 typically between 11-12 years of age) in girls and always precedes menarchedeg.Mean age of menarche is approximately 12.75 yearsdeg."
2691,Hypoxic Ischemic encephalopathy true is –,Lower limbs affected more than upper limbs,Prox. Muscles > distal muscles,Seizure,Trunk involved,C,45,"Clinical features of hypoxic ischemic encephalopathy

Encephalopathy progress over time -


Birth to 12 hours --> Decreased level of conciousness, poor tone, decreased spontaneous movement, periodic breathing or apnea, seizures.
12-24 hours --> More seizuers, Apneic spells, jitteriness, weakness.
After 24 hours —> Hypotonia, conciousness, poor feeding, brainstem signs (oculomotor) and pupillary disturbances."
2692,Which is the best anticoagulant to send sample for serum electrolyte measurement?,EDTA,Lithium heparin,Sodium fluoride,Citrate,B,45,"EDTA- it is an anticoagulant that is preferred when we want to look at the morphology or we want to do any of the blood counts. Sodium fluoride - it inhibits enolase enzyme thus inhibits glycolysis process , so it is used for glucose estimation . Citrate - 3.2%Trisodium citrate - it is used for the determining the value of ESR and is also used for doing any kind of coagulation study. All the three (sodium EDTA, sodium fluoride, trisodium citrate) above use sodium. therefore, if we use any of these chemicals for the purpose of Serum Electrolyte measurement, the value of sodium and other electrolytes are going to be altered. So WHO recommends that for the purpose of Serum Electrolyte measurement we use an anticoagulant Lithium Heparin. It doesn't cause any alterations in the serum electrolytes."
2693,"Known Hypertensive patient with BP of 170/120, what will be done for oral prophylaxis",Sent him back to physician,"Wait, monitor & do the treatment",Give him intravenous drug and do the oral prophylaxis,Not recalled,A,45,No explanation given
2694,The two roots of auriculotemporal nerve encircles which structure,Superficial temporal vein,Superficial temporal artery,Anterior tympanic artery,Middle meningeal artery,D,45,No explanation given
2695,The most effective way of preventing tetanus is :,Surgical debridement and toilet,Hyperbaric oxygen,Antibiotics,Tetanus toxoid,D,45,"Remember :
Best way of prevention = Active immunization = TT
Best passive immunization = Antitoxin = Human tetanus immunoglobulin."
2696,Erosive lichen planus resembles which of the following,Monilial gingivitis,Desquamative gingivitis,Herpetic gingivitis,Acute ulcerative gingivitis,B,45,"Desquamative gingivitis represents oral manifestations of various diseases like

Lichen pLanus (Erosive or atrophic form),
Cicatrialpemphigold or Benign mucous membrane pemphigoid
pemphigus."
2697,"A patient taking which of the following drug should not eat cheese, etc:",Tetracycline,Amoxycillin,Doxycycline,Triamterene,A,45,No explanation given
2698,Need for tooth separation is,Diagnosis,Cavity preparation,Matrix placement,All of the above,D,45,No explanation given
2699,Stress breakers are not used in partial denture construction because:,They are expensive,Increase the vertical dimension,They are difficult to design and fabricate,Harmful effect on the abutment,C,45,No explanation given
2700,What is the sequence of clotting factors in coagulation pathway?,"XII, XIII, X, XI","XIII, XII, XI, X","XII, XI, IX, X","X, XIII, XII, XI",C,45,"Ans. C. XII, XI, IX, X"
2701,A 6 years male child comes with complaints of bedwetting. The child is continent during the day and problem is only at night. Growth and development of the child were normal. Urine microscopy is normal and urine specific gravity was 1.020. How will you manage?,Reassure the parents and follow up after 6 months,Refer to psychiatrist,Complete blood counts,Ultrasound-KUB,A,45,"Ans: A: Reassure the parents and follow up after 6 monthsExplanation:(Ref: Nelson 20Ie p2585; Ghai 8/e p504)Bed-wetting is normal till 5 years of age.In a child with only night-time bed wetting, when urinalysis (to rule out infections) and urine osmolality (to rule out diabetes) are normal, only regular follow up is required.Treatment:To reassure the child and parents that the condition is self-limited and to avoid punitive measures that can affect the child's psychologic development adversely.Fluid intake should be restricted to 2 oz after 6 or 7 pm.Parents should be ceain that the child voids at bedtime.Avoiding extraneous sugar and caffeine after 4 pm also is beneficial.If the child snores and the adenoids are enlarged, referral to an otolarvngologist should be considered, because adenoidectomv can cure the enuresis."
2702,Which is not a feature of HELLP syndrome:,Thrombocytopenia,Eosinophilia,Raised liver enzyme,Hemolytic anemia,B,45,No explanation given
2703,"Which laboratory test is most useful for patient under
dicumarol therapy?",PT,Platelet count,BT,CT,A,45,No explanation given
2704,Infectious mononucleosis is caused by?,EBV,CMV,HIV,HSV,A,45,"Epstein-Barr virus (EBV) infections (or HHV-4) is causative for following infections:

Infectious mononucleosis
Nasopharyngeal carcinoma
Burkiu's lymphoma
Oral hairy leukoplakia
Post-transplant lymphoproliferative diseases"
2705,Drugs causing hyperglycemia:,β-blocker,Glucocorticoids,Acetylcholine,α-blockers,B,45,No explanation given
2706,"In CPR for Infants-1. The sequence followed is Compression - Breathing- Airway2. 30 chest compression is given3. 1 breathe every 15 compressions4. Chest Compression should be 1 1/2 inches in infants5. In infants, the brachial pulse should be assessed.",True False False True False,True False False True True,False True False True False,False True False True True,D,45,"Ans. D. False True False True TrueEmergency care providers should check the victim's pulse for at least 5 seconds but no longer than 10 seconds. For children aged one to adolescence, the pulse should be checked at the carotid aery. In infants, the brachial pulse should be assessed.If there is a palpable pulse within 10 seconds, then a rescue breath should be given every 3 seconds. Breaths should last one second and the chest should be observed for visible rise. If the victim has an advanced airway, then the provider should administer breaths 10-12 times per minute.If the pulse is less than 60/minute, or if the victim has signs of poor perfusion after adequate ventilation and oxygenation, the provider should begin chest compressions. In the absence of a pulse, a lone rescuer should begin CPR with 30 high quality compressions followed by two breaths. If two healthcare providers are available, the cycle of compressions to breaths should be 15:2 (pediatrics).High quality compressions in CPR should be a minimum of 1/3 the AP diameter of the chest, or approximately 1 1/2 inches in infants (4 cm) and 2"" in children from age one to adolescence. The rate of compressions should be 100-120 per minute. Chest recoil should be complete between compressions.Pediatric compression is performed with the head of one hand over the lower 1/2 of the sternum, between the nipples. In infants, use two fingers, or use the thumb encircling technique if multiple providers are available"
2707,"Density of radiograph is affected by all, except:",mA,kVp,Cone angulation,Thickness of object,C,45,"Images should have optimal density and contrast to facilitate interpretation. Although milliamperage (mA), peak kilovoltage (kVp), and exposure time are crucial parameters influencing density and contrast, faulty processing can adversely affect the quality of a properly exposed radiograph.
White and Pharoah, 7th ed, pg-91"
2708,"Child is Evasive and dawdling, what could be the child's mother behavior:",Overprotective mother.,Authoritarian mother.,Rejecting mother.,Underaffectionate mother.,B,45,No explanation given
2709,Maximum spherocytes is seen in,Autoimmune hemolytic anemia,Vit B12 deficiency,Aplastic anemia,None,A,45,No explanation given
2710,Medial squint is caused by paralysis of,Occulomotor nerve,Abducens nerve,Optic nerve,Trochlear nerve,B,45,No explanation given
2711,"Difference in transudate & exudate is that the former
has a:",Low protein,Cloudy appearance,Increased specific gravity,High protein,A,45,No explanation given
2712,The spectacles are used in:,Progressive glasses for presbyopia,Bifocal glasses for presbyopia,Bifocals for pediatric pseudophakia,Bifocals for adult aphakia,C,45,"The image shows bifocal glasses of executive type which is especially used in case of paediatric pseudophakia and not in adult aphakia or presbyopia. Other types of bifocals are K or D bifocals which are used for adults with presbyopia Progressive glasses avoid the sudden jump in power in the lenses and provide a smooth transition from the power for distance vision to the power for the near vision thereby providing good distance, intermediate and near vision"
2713,Which of the following complications of stroke need not to be treated?,Fever,Spasticity,Dysphagia,Numbness,B,45,"Answer- B. SpasticitySpasticity is seen in 20% of hemiplegic paitents. Spasticity per se does not produce weakness and other aspects of motor control Overzealous treatment affects the normal ambulation of patients. Hence, treating spasticity, as a rule is not always preferred, treating it is a double-edged sword. Spasticity as a consequence of a stroke may have a ceain beneficiary compensatory aspect."
2714,"In a 32 year female patient, left supraclavicular lymph node biopsy histologically shows acidophilic owl eye nucleoli lying freely in empty spaces showing immunohistocompatibility with CD 15 & CD 30, it is suggestive of",Nodular sclerosis Hodgkin's lymphoma,Lymphocytic predominant Hodgkin's Lymphoma,Reactive nodular hyperplasia,Large cell lymphoma,A,45,No explanation given
2715,St. Anthony's fire refers to poisoning by:,Ergot alkaloids,Spanish fly,Crotalaria juncea,Aflatoxin,A,45,"Ans: A. Ergot alkaloids(Ref Reddy 34/e p517. 33/e p556: Parikh 6/e p9.32)St. Anthony's Fire:Causes:Due to overdose of ,Ergot medications.After eating flour milled from ergot-infected rye.Humans & livestock a Develop ergotism.Ergotism:Long term effect of ergot poisoning.Due to alkaloids ingestion produced by Claviceps purpurea fungus infected rye & other cereals.Also due to a action of number of ergoline-based drugs.Also known as ""ergotoxicosis, ergot poisoning & Saint Anthony's Fire"".In middle age -Gangrenous poisoning was known as ""holy fire"" or ""Saint Anthony's fire"".Named after monks of Order of Saint Anthony who succeeded in treatment."
2716,Odontogenic keratocyst has the following feature,Occurs due to infection periapically,Is developmental in origin,Can be treated by aspiration,Has low recurrence rate,B,45,No explanation given
2717,Streptococci have the ability to adhere to the tooth surfaces and contribute to caries development as they?,Are penicillinase resistant,Produce acid during metabolism,Produce extracellular polysachharides,Ferment carbohydrates,C,45,"Dental plaque is the prerequisite for the development of smooth surface caries. The presence of extracellular polysaccharides (like glucans and levans) have been clearly demonstrated in dental plaque. Glucans, especially their water-insoluble fraction, can serve as a structural component of plaque matrix and help in adhering certain bacteria to the teeth. Even though the ability to produce acid may be a prerequisite for caries induction, but not all acid producing organism are cariogenic."
2718,In gypsum products thinner mix leads to,Increased setting expansion,Decreased setting expansion,Increase compressive strength,Decrease consistency,B,45,No explanation given
2719,TNM Staging is what type of scale,Ordinal,Ratio,Nominal,Interval,A,45,No explanation given
2720,Child presents with hypotonia and seizures. It was confirmed to be zellweger syndrome. Which of the following accumulates in brain?,Glucose,Lactic acid,Long chain fatty acid,Triglycerides,C,45,"Zellweger syndrome It is also called as Cerebro-Hepato-Renal Syndrome. It is a rare, autosomal recessive disorder. Absence of Peroxisomes in almost all tissues, peroxisomes are responsible for oxidation of very long chain fatty acids which contain more than 22 carbons. Clinical features: Severe neurological symptoms such as Impaired neuronal migration, hypomyelination, hepatomegaly, renal cysts. Accumulation of very long chain fatty acids in brain, with carbon number > 22 Most patients die within 1st year of their life."
2721,Type III gold alloy does not have following features except:,Harder than type IV,Used for small inlays,Easily burnishable than type IV,Less gold than type IV,C,45,No explanation given
2722,Which of the following is inherited as an autosomal dominant trait?,Lichen planus,Bullous pemphigoid,Pemphigus yulgaris,White sponge nevus,D,45,"Lichen planus, pemphigoid, and pemphigus are autoimmune diseases whereas white sponge nevus is inherited as autosomal dominant trait."
2723,Anaphylaxis is mediated by,5-hydroxytryptamine,Heparin,ProstaglandinImmunology,All of these,D,45,"Answer- D. All of these* Primary mediators (These are present in mast cell granules) Includes:* Biogenic Amines :- Histamine, 5-Hydroxytryptamine* Proteoglycans : Heparin* Secondary mediators:* Leukotrienes :- LTC4 D4,V* Cytokines:- ILl,lLg,lL4,IL-5, IL4 TNF and GMCSF"
2724,Mental foramen is located:,Between roots of premolars,Between roots of molars,Near canine,Between Incisors,A,45,No explanation given
2725,Most common cyst associated with adjoining vital teeth?,Dentigerous cyst,Globulomaxillary cyst,Periapical cyst,Lateral periodontal cyst,A,45,No explanation given
2726,Sorting a patient of trauma of head injury on basis of need of care and availability of resources,Triage,Emergency care,Definitive care,Hospital care,A,45,No explanation given
2727,"In a skeletal Class III, the value of ANB will be:",-10,2,4,6,A,45,No explanation given
2728,Patient presented with imbalance on walking with eyes closed and has to lift up foot and stomp on ground to walk. The tract involved is:-,Spinocerebellar tract,Dorsal column tract,Lateral spinothalamic tract,Vestibulospinal tract,B,45,"Case described is of SENSORY ATAXIA - d/o damage to dorsal column of spinal cord. Dorsal column tract: - N. gracilis & N. cuneatus - Carry pressure, vibration, stereognosis & conscious proprioception tactile discrimination Damage leads to: - - Sensory ataxia - Stomping gait - d/o loss of conscious proprioception - Romberg test positive (Pt loses balance with closed eyes). Spinocerebellar tract: - - Carry unconscious proprioception - Damage leads to cerebellar ataxia - wide based gait. Spinothalamic tract: - - Carries pain, temperature (lateral spinothalamic) - Pressure & touch (ventral spinothalamic) Note: Other causes of sensory ataxia 1. Neurosyphilis (tabes dorsalis) 2. DM - II (affects dorsal column) 3. Vit B12 deficiency"
2729,Which of the following is not a provisional entity as per WHO 2016 classification of Acute leukemia?,AML with hyperploidy,B - ALL with BCR - ABL like mutatio,AML with BCR - ABL,Early T - cell precursor leukemia / Lymphoma,A,45,"In Myeloid/lymphoid neoplasms with eosinophilia nad rearrangement of PDGFRA, PDGFRB, OR FGFR1, or with PCM1-JAK2 Provisional entity: Myeloid/ lymphoid neoplasms with PCM1-JAK2 In MDS Provisional entity: Refractory cytopenia of childhood In AML and related neoplasms Provisional entity: AML with BCR-ABL1 Provisional entity: AML with mutated RUNX1 In B cell lymphoblastic leukemia Provision entity: B-lymphoblastic leukemia/ lymphoma, BCR-ABL1-like Provision entity: B-lymphoblastic leukemia/ lymphoma with iAMP21 In T cell lymphoblastic leukemia Provisional entity: Early T-cell precursor lymphoblatic leukemia Provisional entity: Natural killer (NK) cell lymphoblastic leukemia/ lymphoma"
2730,Difference between physical characteristic of reamers and files is:,The cross-section of reamers in square and files are triangular in cross-section,The number of flutes on the blade are more in files than in reamers,The reamers have more flutes in the blade,Files have two superficial grooves to produce flutes in a double helix design,B,45,No explanation given
2731,Anterior - posterior spread of implant is:,Distance from center of most anterior implant to the center of most posterior implant,Distance from center of most anterior implant to the distal surface of most posterior implant,Distance from distal surface of most anterior implant to the mesial surface of most posterior implant,Distance from mesial surface of most anterior implant to the distal surface of most posterior implant,B,45,No explanation given
2732,For determining periodontal disease an epidemiological survey is done by using:,Gingival index (G.I.),Plaque index (P.I.),Periodontal index (P.I),None of the above,C,45,No explanation given
2733,Arch length analysis of a dentition shows a discrepancy of more than 10 mm. This indicates:,No extraction required if treated at an early age,No extraction required,Extraction of posterior teeth,Proximal stripping,C,45,No explanation given
2734,True about Total Goitre Rate (TGR) is:,It is an indicator of iron deficiency in the community,Community survey of TGR does not require doctors in the team,"Goitres are classified as not visible, palpable and visible","Goitres are classified as not visible, palpable and visible",D,45,"Ans: D. Goitres are classified as not visible, palpable and visible(Ref: Ghai 8Ie p519)The term 'endemic goitre' refers to a total goitre rate of >5 percent in a given community.Total goitre rate is an indicator of iodine deficiency, which causes brain damage and mental retardation.Endemic goiter is present when the prevalence of goiter in a defined population exceeds 5%.Endemic goiter is graded by the method of WHO.Screening estimates of iodine intake are usually derived from 24-hr urinary excretion values or urinary iodine concentration expressed in relation to creatinine concentration."
2735,"For which of the following, you will not perform pulpectomy?",Primary teeth with sinus tract,Primary teeth without successor,Primary teeth with furcation pathology,Pulpless primary teeth next to the line of a palatal cleft,C,45,"Primary teeth with furcation pathology, pulpectomy is not indicated, rather it requires extraction."
2736,Inorganic component of bone is:,35%,45%,85%,65%,D,45,No explanation given
2737,"An elderly female presented with blockade, nasal discharge, diplopia and facial swelling. On examination, there is blackish discharge from the nasal cavity with necrosis of nasal mucosa, facial skin and palate. There is fixation of the right globe. There is elevated blood sugar and urinary ketones are positive.Which of the following would be the medication to be used in this patient?",Amphotericin B,Itraconazole,Ketoconazole,Broad spectrum antibiotics,A,45,"Ans. a. Amphotericin B (Rcf : Harrison l9/e p1350,18/ep l661-l664)This diabetic patient is most likely suffering from mucormycosis, in which there is involvement of peri-orbital region and visual impairment. I.V. Amphotericin BQ is the treatment most commonly used in all forms of Mucormycosis."
2738,"Video based question - AIIMS NICU - neonate shown on O2 with nasal prongs, not intubated, sister shown inseing a tube through the mouth, camera zooms in, 18 (calibration) mark seen, the other (green) end as of now not connected to anything, video ends, what is the procedure that is being done?VIDEO LINK:",Oral suction,Oropharyngeal suction,Nasogastric tube inse,Orogastric tube inseion,D,45,Ans. D. Orogastric tube inseion
2739,Which of following is an oral precancer?,Oral hairy Leukoplakia,White spongy naevus,Leukemia,Speckled Leukoplakia,D,45,No explanation given
2740,Patient with carcinoma endometrium treated with pelvic external beam irradiation to whole pelvis. Which of the following organs is most radiosensitive in the pelvic region?,Ovary,Vagina,Bladder,Rectum,A,45,"Ans: A. Ovary(Ref Perez and Brady's Principles of Radiation Oncology 6/e p65)Among the given options, most radiosensitive organ is ovary >rectum >bladder >vagina.(Radiation tolerance dose: Ovary = 2-3 Gy; Rectum = 60 Gy; Bladder = 65 Gy; Vagina = 90 Gy)."
2741,Repeated fracture of a porcelain fused to metal restoration is primarily due to,Occlusal trauma,Inadequately designed framework,Improper firing schedule,Failure to use metal conditioner,B,45,No explanation given
